label,baseline_f1,best_f1,support
3.b.2,0.7557003257328991,0.7941176470588236,156
3.8.1,0.5555555555555556,0.5909090909090909,79
3.4.1,0.851063829787234,0.9241379310344828,72
3.b.3,0.5,0.5535714285714286,59
3.3.1,0.8305084745762712,0.8907563025210083,56
3.2.1,0.6233766233766234,0.6857142857142857,37
3.c.1,0.6129032258064516,0.6885245901639345,35
3.1.1,0.5806451612903226,0.6909090909090909,33
3.d.1,0.47619047619047616,0.6268656716417911,33
3.9.2,0.84375,0.8923076923076922,32
3.7.1,0.6785714285714286,0.6779661016949152,28
3.b.1,0.42857142857142855,0.56,28
3.3.2,0.7916666666666666,0.830188679245283,26
3.7.2,0.6086956521739131,0.6923076923076923,25
3.8.2,0.4489795918367347,0.5128205128205129,24
3.3.3,0.8444444444444444,0.8695652173913043,24
3.3.5,0.4878048780487805,0.6181818181818182,23
3.2.2,0.5365853658536585,0.717948717948718,21
3.5.1,0.45161290322580644,0.6666666666666667,18
3.1.2,0.3,0.4285714285714286,14
3.a.1,0.7777777777777778,0.7777777777777778,11
3.5.2,0.6,0.6666666666666665,10
3.4.2,0.5263157894736842,0.75,9
3.9.3,0.25,0.5,9
3.9.1,0.36363636363636365,0.5333333333333333,8
3.3.4,0.2222222222222222,0.6666666666666666,8
3.6.1,0.0,0.5454545454545454,5
